,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ref,Qnty,Value,Cmp name,Footprint
,,,,
"C1, C2, C5, C6, ",4,10u,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C3, C10, ",2,180uF,C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x9.9
,,,,
"C4, C14, C17, C29, C30, C31, C32, C33, C34, C40, C42, ",11,0.1uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C7, ",1,3300pF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C8, ",1,56nF,C,Capacitor_SMD:C_0504_1310Metric_Pad0.83x1.28mm_HandSolder
,,,,
"C9, C18, C24, ",3,10pF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C11, C12, C13, C16, C39, C41, C43, C44, ",8,1uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C15, ",1,2.2uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C19, C21, ",2,0.022uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C20, ",1,22nF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C22, ",1,3.3uF,C_Polarized_US,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C23, C27, C28, C35, C36, ",5,10uF,C_Polarized,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C25, ",1,0.047uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"C26, ",1,470uF,C_Polarized_US,Capacitor_SMD:C_Elec_8x10.2
,,,,
"C37, C38, ",2,20pF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
,,,,
"D1, ",1,MCCSK54B-LTP,D_Schottky,Diode_SMD:D_SMB
,,,,
"D2, D3, D4, D5, ",4,D_Z_2V4,D_Zener,Diode_SMD:D_SOD-123
,,,,
"D6, ",1,DEL_5V,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
,,,,
"D7, ",1,DEL_3V3,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
,,,,
"J1, ",1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12
,,,,
"J2, ",1,Pile,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_bornier-2_P5.08mm
,,,,
"J3, ",1,AudioJack4,AudioJack4,Connector_Audio:Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal
,,,,
"J4, ",1,Test_5V,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,,,
"J5, ",1,Conn_Alim,Screw_Terminal_01x04,TerminalBlock:TerminalBlock_bornier-4_P5.08mm
,,,,
"J6, ",1,Test_3V3,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,,,
"J7, J8, ",2,Conn_ESP,Conn_01x19_Female,Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical
,,,,
"J9, ",1,Sortie_alim,Screw_Terminal_01x04,TerminalBlock:TerminalBlock_bornier-4_P5.08mm
,,,,
"J10, ",1,Micro_SD_Card,Micro_SD_Card,Connector_Card:microSD_HC_Wuerth_693072010801
,,,,
"J11, ",1,Test_10V,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,,,
"J12, ",1,Conn_01x01_Male,Conn_01x01_Male,Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical
,,,,
"J13, ",1,Conn_GPS,Conn_01x04_Male,Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical
,,,,
